Name,Model,Nodes,Devices,Speed,Time,X,Y,Z,Total size,Local size
slurm-13618.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],1,193.38299999999995,,4096,640,3,7864320,4096x640x3
slurm-13619.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,328.346,,4096,640,3,7864320,4096x320x3
slurm-13620.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,494.5260000000001,,4096,640,3,7864320,4096x160x3
slurm-13621.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],1,196.08700000000002,,4096,1280,3,15728640,4096x1280x3
slurm-13622.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,386.11299999999994,,4096,1280,3,15728640,4096x640x3
slurm-13623.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,656.6300000000001,,4096,1280,3,15728640,4096x320x3
slurm-13625.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,390.787,,4096,2560,3,31457280,4096x1280x3
slurm-13626.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,770.221,,4096,2560,3,31457280,4096x640x3
slurm-13640.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],8,694.5779999999999,,4096,640,3,7864320,4096x80x3
slurm-13641.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],8,994.7990000000001,,4096,1280,3,15728640,4096x160x3
slurm-13642.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],8,1305.739,,4096,2560,3,31457280,4096x320x3
slurm-13644.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,389.375,,8192,1280,3,31457280,8192x640x3
slurm-13645.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,660.4989999999999,,8192,1280,3,31457280,8192x320x3
slurm-13646.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],8,1006.9270000000001,,8192,1280,3,31457280,8192x160x3
slurm-13650.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],8,1320.139,,16384,2560,3,125829120,16384x320x3
slurm-13978.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],1,172.41099999999997,,8192,320,3,7864320,8192x320x3
slurm-13979.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],1,132.48600000000002,,16384,160,3,7864320,16384x160x3
slurm-13980.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,388.405,,4096,1280,3,15728640,4096x640x3
slurm-13981.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,327.668,,8192,640,3,15728640,8192x320x3
slurm-13982.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,253.389,,16384,320,3,15728640,16384x160x3
slurm-13983.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,810.0409999999999,,4096,2560,3,31457280,4096x640x3
slurm-13984.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,654.359,,8192,1280,3,31457280,8192x320x3
slurm-13985.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,528.8689999999999,,16384,640,3,31457280,16384x160x3
slurm-14064.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],1,164.56799999999998,,4096,320,3,3932160,4096x320x3
slurm-14065.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],1,126.589,,8192,160,3,3932160,8192x160x3
slurm-14066.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,382.814,,2048,1280,3,7864320,2048x640x3
slurm-14067.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,342.79699999999997,,4096,640,3,7864320,4096x320x3
slurm-14068.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],2,263.571,,8192,320,3,7864320,8192x160x3
slurm-14069.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,763.094,,2048,2560,3,15728640,2048x640x3
slurm-14070.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,657.19,,4096,1280,3,15728640,4096x320x3
slurm-14071.out,d3q27q27_cm_cht_OutFlowNeumann_AVG_IBB,[],4,504.55600000000004,,8192,640,3,15728640,8192x160x3
